"Certified","Person","Date"
"2012-12-20",1,"2012-11-28"
"2012-12-20",1,"2013-03-07"
"2012-12-20",1,"2014-01-27"
"2012-12-20",1,"2014-07-19"
"2012-12-20",2,"2012-07-12"
"2012-12-20",2,"2012-07-19"
"2012-12-20",2,"2012-11-08"
"2012-12-20",2,"2013-06-09"
"2012-12-20",2,"2014-04-14"
"2012-12-20",2,"2014-06-22"
"2012-12-20",2,"2014-07-02"
"2012-12-20",2,"2014-10-06"
"2012-12-20",2,"2014-12-18"
"2012-12-20",2,"2015-01-08"
"2012-12-20",2,"2016-02-02"
"2012-12-20",3,"2012-10-25"
"2012-12-20",3,"2012-12-04"
"2012-12-20",3,"2013-04-27"
"2012-12-20",3,"2013-05-09"
"2012-12-20",3,"2013-05-13"
"2012-12-20",3,"2013-09-16"
"2012-12-20",3,"2014-02-24"
"2012-12-20",3,"2014-04-14"
"2012-12-20",3,"2014-08-14"
"2012-12-20",3,"2015-01-03"
"2012-12-20",3,"2015-08-17"
"2012-12-20",3,"2016-01-03"
"2012-12-20",4,"2012-09-28"
"2012-12-20",4,"2012-10-25"
"2012-12-20",4,"2012-11-30"
"2012-12-20",4,"2013-05-23"
"2012-12-20",4,"2013-07-27"
"2012-12-20",4,"2013-08-23"
"2012-12-20",4,"2013-09-16"
"2012-12-20",4,"2014-03-10"
"2012-12-20",4,"2015-01-03"
"2012-12-20",4,"2015-09-24"
"2012-12-20",5,"2012-05-07"
"2012-12-20",5,"2012-11-15"
"2012-12-20",5,"2013-02-25"
"2012-12-20",5,"2013-04-04"
"2012-12-20",5,"2014-04-14"
"2012-12-20",5,"2015-07-06"
"2012-12-20",5,"2015-11-23"
"2012-12-20",6,"2012-04-30"
"2012-12-20",6,"2012-05-14"
"2012-12-20",6,"2012-09-13"
"2012-12-20",6,"2013-02-06"
"2012-12-20",7,"2012-05-22"
"2012-12-20",7,"2013-01-30"
"2012-12-20",7,"2013-05-06"
"2012-12-20",7,"2013-06-24"
"2012-12-20",7,"2013-09-05"
"2012-12-20",7,"2014-01-08"
"2012-12-20",7,"2014-06-24"
"2012-12-20",7,"2015-08-24"
"2012-12-20",7,"2016-02-22"
"2012-12-20",8,"2012-05-14"
"2012-12-20",9,"2012-02-20"
"2012-12-20",9,"2012-05-14"
"2012-12-20",9,"2012-10-30"
"2012-12-20",9,"2013-01-22"
"2012-12-20",9,"2013-01-25"
"2012-12-20",9,"2013-03-07"
"2012-12-20",9,"2015-09-17"
"2012-12-20",9,"2015-12-07"
"2012-12-20",9,"2015-12-15"
"2012-12-20",9,"2016-05-04"
"2012-12-20",10,"2012-02-23"
"2012-12-20",10,"2012-06-18"
"2012-12-20",10,"2012-10-17"
"2012-12-20",10,"2012-10-20"
"2012-12-20",10,"2012-10-23"
"2012-12-20",10,"2013-02-25"
"2012-12-20",10,"2013-05-09"
"2012-12-20",10,"2013-05-13"
"2012-12-20",10,"2013-06-25"
"2012-12-20",10,"2013-11-23"
"2012-12-20",10,"2014-03-17"
"2012-12-20",10,"2014-09-22"
"2012-12-20",10,"2015-01-03"
"2012-12-20",10,"2015-07-06"
"2012-12-20",11,"2013-01-12"
"2012-12-20",11,"2013-07-15"
"2012-12-20",11,"2013-11-14"
"2012-12-20",11,"2014-01-06"
"2012-12-20",11,"2014-07-14"
"2012-12-20",12,"2011-11-07"
"2012-12-20",12,"2012-02-23"
"2012-12-20",12,"2012-07-19"
"2012-12-20",13,"2012-07-16"
"2012-12-20",13,"2012-11-10"
"2012-12-20",13,"2013-01-30"
"2012-12-20",13,"2013-05-02"
"2012-12-20",13,"2013-05-06"
"2012-12-20",13,"2013-09-16"
"2012-12-20",13,"2013-10-25"
"2012-12-20",13,"2014-01-27"
"2012-12-20",13,"2014-02-24"
"2012-12-20",13,"2015-05-27"
"2012-12-20",13,"2015-09-24"
"2012-12-20",13,"2016-01-03"
"2012-12-20",14,"2011-11-07"
"2012-12-20",14,"2012-02-20"
"2012-12-20",14,"2012-07-10"
"2012-12-20",14,"2013-01-31"
"2012-12-20",14,"2013-07-15"
"2012-12-20",14,"2013-09-21"
"2012-12-20",14,"2014-03-17"
"2012-12-20",14,"2014-07-08"
"2012-12-20",14,"2014-10-06"
"2012-12-20",14,"2015-06-22"
"2012-12-20",15,"2012-03-26"
"2012-12-20",16,"2012-10-08"
"2012-12-20",16,"2013-05-06"
"2012-12-20",16,"2013-07-11"
"2012-12-20",16,"2014-03-10"
"2012-12-20",17,"2012-10-18"
"2012-12-20",17,"2013-01-11"
"2012-12-20",17,"2013-01-21"
"2012-12-20",17,"2013-02-05"
"2012-12-20",17,"2013-05-23"
"2012-12-20",17,"2013-06-06"
"2012-12-20",17,"2014-04-09"
"2012-12-20",17,"2014-05-23"
"2012-12-20",17,"2015-10-06"
"2012-12-20",18,"2012-06-28"
"2012-12-20",18,"2013-01-22"
"2012-12-20",18,"2013-04-20"
"2012-12-20",18,"2014-05-19"
"2012-12-20",18,"2015-04-13"
"2012-12-20",18,"2015-11-19"
"2012-12-20",19,"2011-11-07"
"2012-12-20",19,"2012-02-20"
"2012-12-20",19,"2012-04-02"
"2012-12-20",19,"2012-10-17"
"2012-12-20",19,"2012-10-20"
"2012-12-20",19,"2013-01-12"
"2012-12-20",19,"2013-04-29"
"2012-12-20",19,"2013-06-25"
"2012-12-20",19,"2014-04-14"
"2012-12-20",19,"2015-06-04"
"2012-12-20",19,"2015-07-06"
"2012-12-20",19,"2016-01-14"
"2012-12-20",20,"2012-05-14"
"2012-12-20",20,"2012-10-22"
"2012-12-20",20,"2012-10-30"
"2012-12-20",20,"2012-12-04"
"2012-12-20",20,"2013-04-13"
"2012-12-20",20,"2013-04-18"
"2012-12-20",20,"2013-07-15"
"2012-12-20",20,"2013-12-03"
"2012-12-20",20,"2014-07-21"
"2012-12-20",20,"2014-09-16"
"2012-12-20",20,"2014-12-03"
"2012-12-20",20,"2016-03-10"
"2012-12-20",21,"2012-07-09"
"2012-12-20",21,"2013-01-12"
"2012-12-20",21,"2013-06-24"
"2012-12-20",21,"2013-08-23"
"2012-12-20",22,"2012-10-18"
"2012-12-20",22,"2014-06-22"
"2012-12-20",23,"2012-04-14"
"2012-12-20",23,"2012-12-10"
"2012-12-20",23,"2015-08-24"
"2012-12-20",23,"2016-02-05"
"2012-12-20",24,"2012-11-30"
"2012-12-20",25,"2012-04-02"
"2012-12-20",25,"2012-10-08"
"2012-12-20",25,"2013-01-12"
"2012-12-20",25,"2013-08-28"
"2012-12-20",25,"2014-04-14"
"2012-12-20",26,"2012-10-08"
"2012-12-20",26,"2013-07-11"
"2012-12-20",26,"2014-03-17"
"2012-12-20",27,"2012-04-02"
"2012-12-20",27,"2012-06-18"
"2012-12-20",27,"2013-07-27"
"2012-12-20",27,"2015-07-23"
"2012-12-20",28,"2012-11-15"
"2012-12-20",28,"2013-05-09"
"2012-12-20",28,"2013-05-13"
"2012-12-20",28,"2013-05-23"
"2012-12-20",28,"2013-06-24"
"2012-12-20",28,"2013-09-23"
"2012-12-20",28,"2014-03-17"
"2012-12-20",28,"2014-05-08"
"2012-12-20",28,"2014-07-24"
"2012-12-20",28,"2014-09-29"
"2012-12-20",28,"2015-01-06"
"2012-12-20",28,"2015-02-09"
"2012-12-20",28,"2015-04-23"
"2012-12-20",28,"2015-05-30"
"2012-12-20",28,"2015-09-22"
"2012-12-20",28,"2015-11-23"
"2012-12-20",28,"2016-01-13"
"2012-12-20",28,"2016-01-21"
"2012-12-20",28,"2016-03-03"
"2012-12-20",28,"2016-03-15"
"2012-12-20",28,"2016-04-04"
"2012-12-20",29,"2012-06-28"
"2012-12-20",29,"2013-04-20"
"2012-12-20",29,"2013-06-03"
"2012-12-20",29,"2013-06-24"
"2012-12-20",29,"2014-05-19"
"2012-12-20",30,"2013-04-04"
"2012-12-20",30,"2013-09-27"
"2012-12-20",30,"2014-05-19"
"2012-12-20",30,"2014-11-05"
"2012-12-20",30,"2015-02-25"
"2012-12-20",30,"2015-06-18"
"2012-12-20",31,"2012-11-28"
"2012-12-20",31,"2013-02-05"
"2012-12-20",31,"2013-03-23"
"2012-12-20",31,"2013-07-25"
"2012-12-20",31,"2013-08-04"
"2012-12-20",31,"2014-04-02"
"2012-12-20",31,"2014-05-08"
"2012-12-20",31,"2015-03-16"
"2012-12-20",31,"2016-04-11"
"2012-12-20",32,"2012-11-08"
"2012-12-20",32,"2013-06-06"
"2012-12-20",32,"2013-11-23"
"2012-12-20",32,"2014-02-22"
"2012-12-20",32,"2014-03-17"
"2012-12-20",33,"2012-01-18"
"2012-12-20",33,"2012-02-23"
"2012-12-20",33,"2012-03-07"
"2012-12-20",33,"2012-03-26"
"2012-12-20",33,"2012-03-28"
"2012-12-20",33,"2012-04-14"
"2012-12-20",33,"2012-04-15"
"2012-12-20",33,"2012-04-30"
"2012-12-20",33,"2012-05-07"
"2012-12-20",33,"2012-05-16"
"2012-12-20",33,"2012-05-22"
"2012-12-20",33,"2012-07-09"
"2012-12-20",33,"2012-07-12"
"2012-12-20",33,"2012-07-16"
"2012-12-20",33,"2012-07-19"
"2012-12-20",33,"2012-08-26"
"2012-12-20",33,"2012-09-13"
"2012-12-20",33,"2012-09-17"
"2012-12-20",33,"2012-09-28"
"2012-12-20",33,"2012-10-11"
"2012-12-20",33,"2012-10-18"
"2012-12-20",33,"2012-11-08"
"2012-12-20",33,"2012-11-28"
"2012-12-20",33,"2013-01-06"
"2012-12-20",33,"2013-01-12"
"2012-12-20",33,"2013-01-24"
"2012-12-20",33,"2013-02-07"
"2012-12-20",33,"2013-02-14"
"2012-12-20",33,"2013-02-25"
"2012-12-20",33,"2013-03-04"
"2012-12-20",33,"2013-03-12"
"2012-12-20",33,"2013-05-09"
"2012-12-20",33,"2013-05-12"
"2012-12-20",33,"2013-05-30"
"2012-12-20",33,"2013-08-12"
"2012-12-20",33,"2013-09-16"
"2012-12-20",33,"2013-09-30"
"2012-12-20",33,"2013-10-24"
"2012-12-20",33,"2013-11-18"
"2012-12-20",33,"2014-01-13"
"2012-12-20",33,"2014-01-16"
"2012-12-20",33,"2014-01-20"
"2012-12-20",33,"2014-02-11"
"2012-12-20",33,"2014-04-02"
"2012-12-20",33,"2014-04-14"
"2012-12-20",33,"2014-04-24"
"2012-12-20",33,"2014-04-28"
"2012-12-20",33,"2014-05-05"
"2012-12-20",33,"2014-05-12"
"2012-12-20",33,"2014-06-02"
"2012-12-20",33,"2014-06-05"
"2012-12-20",33,"2014-06-11"
"2012-12-20",33,"2014-06-16"
"2012-12-20",33,"2014-07-15"
"2012-12-20",33,"2014-08-06"
"2012-12-20",33,"2014-09-10"
"2012-12-20",33,"2014-09-22"
"2012-12-20",33,"2014-10-06"
"2012-12-20",33,"2014-10-22"
"2012-12-20",33,"2014-10-30"
"2012-12-20",33,"2014-11-12"
"2012-12-20",33,"2015-01-06"
"2012-12-20",33,"2015-01-29"
"2012-12-20",33,"2015-02-01"
"2012-12-20",33,"2015-02-05"
"2012-12-20",33,"2015-03-10"
"2012-12-20",33,"2015-03-16"
"2012-12-20",33,"2015-04-08"
"2012-12-20",33,"2015-05-04"
"2012-12-20",33,"2015-05-11"
"2012-12-20",33,"2015-05-27"
"2012-12-20",33,"2015-05-30"
"2012-12-20",33,"2015-06-08"
"2012-12-20",33,"2015-06-12"
"2012-12-20",33,"2015-06-16"
"2012-12-20",33,"2015-07-16"
"2012-12-20",33,"2015-09-08"
"2012-12-20",33,"2015-09-14"
"2012-12-20",33,"2015-09-21"
"2012-12-20",33,"2015-10-08"
"2012-12-20",33,"2015-10-15"
"2012-12-20",33,"2015-10-25"
"2012-12-20",33,"2015-11-23"
"2012-12-20",33,"2015-12-07"
"2012-12-20",33,"2016-01-21"
"2012-12-20",33,"2016-02-16"
"2012-12-20",33,"2016-02-22"
"2012-12-20",33,"2016-03-09"
"2012-12-20",33,"2016-04-25"
"2012-12-20",33,"2016-05-09"
"2012-12-20",33,"2016-05-11"
"2013-07-17",34,"2013-07-15"
"2013-07-17",34,"2013-09-12"
"2013-07-17",34,"2013-11-14"
"2013-07-20",35,"2013-03-20"
"2013-07-20",35,"2013-03-24"
"2013-07-20",35,"2013-04-08"
"2013-07-20",35,"2013-06-03"
"2013-07-20",35,"2013-07-18"
"2013-07-20",35,"2013-08-27"
"2013-07-20",35,"2013-12-03"
"2013-07-20",35,"2014-01-21"
"2013-07-20",35,"2014-01-30"
"2013-07-20",35,"2014-04-29"
"2013-07-20",35,"2014-05-23"
"2013-07-20",35,"2014-08-05"
"2013-07-20",35,"2015-01-07"
"2013-07-20",35,"2015-04-13"
"2013-07-20",35,"2015-07-06"
"2013-07-20",36,"2013-09-24"
"2013-07-20",36,"2013-10-03"
"2013-07-20",36,"2014-02-13"
"2013-07-20",36,"2014-02-18"
"2013-07-20",36,"2014-07-14"
"2013-07-20",36,"2014-10-31"
"2013-07-20",36,"2014-12-11"
"2013-07-20",37,"2013-06-17"
"2013-07-20",37,"2013-09-19"
"2013-07-20",37,"2013-10-03"
"2013-07-20",37,"2013-10-17"
"2013-07-20",37,"2014-09-18"
"2013-07-20",37,"2014-11-06"
"2013-07-20",37,"2015-04-17"
"2013-07-20",37,"2015-09-15"
"2013-07-20",38,"2014-02-13"
"2013-07-20",38,"2014-02-18"
"2013-07-20",38,"2016-02-01"
"2013-07-20",39,"2012-09-13"
"2013-07-20",39,"2013-01-25"
"2013-07-20",39,"2013-02-06"
"2013-07-20",40,"2014-02-13"
"2013-07-20",40,"2014-02-18"
"2013-07-20",41,"2013-02-25"
"2013-07-20",41,"2013-06-06"
"2013-07-20",41,"2013-09-26"
"2013-07-20",41,"2014-01-06"
"2013-07-20",42,"2013-04-18"
"2013-07-20",43,"2012-10-17"
"2013-07-20",43,"2012-10-20"
"2013-07-20",43,"2013-03-04"
"2013-07-20",43,"2013-04-13"
"2013-07-20",43,"2014-01-18"
"2013-07-20",43,"2014-01-27"
"2013-07-20",43,"2014-01-31"
"2013-07-20",43,"2014-03-17"
"2013-07-20",43,"2015-12-14"
"2013-07-20",44,"2014-04-03"
"2013-07-20",45,"2013-05-18"
"2013-07-20",45,"2013-07-03"
"2013-07-20",45,"2014-04-23"
"2013-07-20",45,"2014-05-19"
"2013-07-20",45,"2015-02-26"
"2013-07-20",45,"2015-11-20"
"2013-07-20",45,"2015-11-23"
"2013-07-20",45,"2015-12-02"
"2013-07-20",45,"2016-02-04"
"2013-07-20",46,"2013-01-30"
"2013-07-20",47,"2012-05-14"
"2013-07-20",47,"2012-10-22"
"2013-07-20",47,"2013-04-29"
"2013-07-20",48,"2012-12-10"
"2013-07-20",48,"2013-08-22"
"2013-07-20",48,"2014-02-15"
"2013-07-20",48,"2014-04-04"
"2013-07-20",49,"2013-03-07"
"2013-07-20",49,"2013-05-16"
"2013-07-20",49,"2013-05-20"
"2013-07-20",49,"2013-07-25"
"2013-07-20",49,"2013-08-04"
"2013-07-20",49,"2013-09-24"
"2013-07-20",49,"2013-10-01"
"2013-07-20",49,"2013-12-12"
"2013-07-20",50,"2013-06-17"
"2013-07-20",50,"2013-07-18"
"2013-07-20",50,"2013-09-23"
"2013-07-20",50,"2014-01-21"
"2013-07-20",50,"2014-01-30"
"2013-07-20",50,"2014-07-08"
"2013-07-20",50,"2014-07-17"
"2013-07-20",50,"2016-04-28"
"2013-07-20",51,"2013-04-18"
"2013-07-20",51,"2013-05-18"
"2013-07-20",51,"2013-06-24"
"2013-07-20",51,"2013-07-01"
"2013-07-20",51,"2013-07-11"
"2013-07-20",51,"2014-01-07"
"2013-07-20",51,"2014-01-14"
"2013-07-20",51,"2014-02-03"
"2013-07-20",51,"2014-04-09"
"2013-07-20",51,"2014-06-04"
"2013-07-20",51,"2014-10-22"
"2013-07-20",51,"2014-11-10"
"2013-07-20",51,"2014-11-27"
"2013-07-20",51,"2014-12-06"
"2013-07-20",51,"2015-01-06"
"2013-07-20",51,"2015-01-14"
"2013-07-20",51,"2015-02-03"
"2013-07-20",51,"2015-03-18"
"2013-07-20",51,"2015-06-24"
"2013-07-20",51,"2015-10-29"
"2013-07-20",51,"2015-11-09"
"2013-07-20",51,"2015-11-23"
"2013-07-20",51,"2015-12-14"
"2013-07-20",51,"2016-01-13"
"2013-07-20",51,"2016-01-18"
"2013-07-20",51,"2016-01-21"
"2013-07-20",51,"2016-01-28"
"2013-07-20",51,"2016-02-02"
"2013-07-20",51,"2016-03-10"
"2013-07-20",51,"2016-04-17"
"2013-07-20",51,"2016-05-04"
"2013-07-20",52,"2013-04-13"
"2013-07-20",52,"2013-09-12"
"2013-07-20",52,"2013-10-01"
"2013-07-20",52,"2013-10-09"
"2013-07-20",52,"2014-10-31"
"2013-07-20",52,"2015-06-24"
"2013-07-20",52,"2016-03-03"
"2013-07-20",53,"2013-03-04"
"2013-07-20",53,"2013-05-06"
"2013-07-20",53,"2013-07-01"
"2013-07-20",53,"2013-09-16"
"2013-07-20",53,"2014-01-27"
"2013-07-20",53,"2015-06-25"
"2013-07-20",53,"2015-10-22"
"2013-07-20",53,"2016-01-07"
"2013-07-20",53,"2016-02-22"
"2013-07-20",53,"2016-03-09"
"2013-07-20",53,"2016-03-31"
"2013-07-20",54,"2013-09-05"
"2013-07-20",54,"2013-09-23"
"2013-07-20",54,"2014-09-30"
"2013-07-20",55,"2012-11-10"
"2013-07-20",55,"2013-06-24"
"2013-07-20",55,"2014-03-17"
"2013-07-20",55,"2015-01-05"
"2013-07-20",55,"2016-01-11"
"2013-07-20",56,"2013-01-12"
"2013-07-20",56,"2013-06-03"
"2013-07-20",56,"2013-06-17"
"2013-07-20",56,"2013-07-18"
"2013-07-20",56,"2013-09-19"
"2013-07-20",56,"2013-10-17"
"2013-07-20",56,"2013-11-14"
"2013-07-20",56,"2013-12-03"
"2013-07-20",56,"2014-01-08"
"2013-07-20",56,"2014-01-13"
"2013-07-20",56,"2014-05-12"
"2013-07-20",56,"2014-05-29"
"2013-07-20",56,"2014-06-10"
"2013-07-20",56,"2014-09-18"
"2013-07-20",57,"2013-02-06"
"2013-07-20",57,"2014-05-08"
"2013-07-20",58,"2013-01-30"
"2013-07-20",58,"2013-04-27"
"2013-07-20",58,"2013-05-23"
"2013-07-20",58,"2014-03-17"
"2013-07-20",58,"2014-08-18"
"2013-07-20",58,"2014-08-28"
"2013-07-20",58,"2014-09-01"
"2013-07-20",58,"2014-09-04"
"2013-07-20",59,"2013-07-18"
"2013-07-20",59,"2013-08-28"
"2013-07-20",59,"2014-07-28"
"2013-07-20",59,"2014-12-16"
"2013-07-20",59,"2015-01-15"
"2013-07-20",59,"2015-06-22"
"2013-07-24",60,"2013-01-11"
"2013-07-24",60,"2013-01-21"
"2013-07-24",60,"2013-05-16"
"2013-07-24",60,"2013-05-20"
"2013-07-24",60,"2014-01-27"
"2013-07-24",60,"2014-03-17"
"2013-07-24",60,"2014-05-12"
"2013-07-24",60,"2015-03-05"
"2013-07-24",61,"2012-05-16"
"2013-07-24",61,"2012-12-10"
"2013-07-24",62,"2012-07-10"
"2013-07-24",62,"2013-05-02"
"2013-07-24",62,"2013-05-06"
"2013-07-24",62,"2014-02-18"
"2013-07-24",62,"2014-02-28"
"2013-07-24",63,"2013-04-04"
"2013-07-24",64,"2013-05-06"
"2013-07-24",64,"2013-07-01"
"2013-07-24",64,"2014-06-30"
"2013-07-24",65,"2012-11-10"
"2013-07-24",65,"2013-06-09"
"2013-07-24",65,"2014-04-14"
"2013-07-24",66,"2013-01-21"
"2013-07-24",66,"2013-02-25"
"2013-07-24",66,"2013-05-06"
"2013-07-24",66,"2013-06-06"
"2013-07-24",66,"2013-12-03"
"2013-07-24",66,"2014-01-27"
"2013-07-24",66,"2014-02-22"
"2013-07-24",66,"2014-03-17"
"2013-07-24",66,"2014-06-16"
"2013-07-24",66,"2014-08-21"
"2013-07-24",67,"2013-01-31"
"2013-07-24",67,"2014-05-29"
"2013-07-24",68,"2013-02-25"
"2013-07-24",68,"2013-09-26"
"2013-07-24",68,"2014-09-25"
"2013-07-24",68,"2015-04-30"
"2013-07-24",68,"2015-09-22"
"2013-07-24",69,"2013-07-03"
"2013-07-24",69,"2014-04-23"
"2013-07-24",69,"2014-05-19"
"2013-07-24",69,"2015-02-26"
"2013-07-24",69,"2015-06-02"
"2013-07-24",69,"2015-12-02"
"2013-07-24",69,"2016-03-15"
"2013-11-17",70,"2013-09-24"
"2013-11-17",70,"2014-07-30"
"2013-11-17",70,"2016-02-01"
"2013-11-17",71,"2013-08-22"
"2013-11-17",71,"2015-01-26"
"2013-11-17",71,"2015-04-18"
"2013-11-17",71,"2015-07-13"
"2013-11-17",72,"2013-10-17"
"2013-11-17",72,"2014-01-30"
"2013-11-17",72,"2014-03-17"
"2013-11-17",72,"2015-01-29"
"2013-11-17",72,"2015-06-25"
"2013-11-17",72,"2016-01-28"
"2013-11-17",72,"2016-02-08"
"2013-11-17",72,"2016-02-25"
"2013-11-17",73,"2013-05-09"
"2013-11-17",73,"2014-05-05"
"2013-11-17",73,"2014-06-04"
"2013-11-17",73,"2014-10-06"
"2013-11-17",73,"2014-11-06"
"2013-11-17",73,"2015-01-10"
"2013-11-17",73,"2015-04-18"
"2013-11-17",74,"2014-01-08"
"2013-11-17",74,"2014-01-27"
"2013-11-17",74,"2014-02-15"
"2013-11-17",74,"2014-04-04"
"2013-11-17",74,"2014-06-02"
"2013-11-17",74,"2014-11-27"
"2013-11-17",74,"2015-01-11"
"2013-11-17",74,"2015-03-24"
"2013-11-17",74,"2015-04-15"
"2013-11-17",74,"2015-05-19"
"2013-11-17",74,"2015-05-27"
"2013-11-17",74,"2016-04-12"
"2013-11-17",75,"2013-05-06"
"2013-11-17",75,"2013-09-23"
"2013-11-17",76,"2014-01-08"
"2013-11-17",76,"2014-04-14"
"2013-11-17",76,"2014-08-11"
"2013-11-17",77,"2013-10-25"
"2013-11-17",77,"2014-01-13"
"2013-11-17",77,"2014-04-14"
"2013-11-17",77,"2014-06-24"
"2013-11-17",77,"2014-09-24"
"2013-11-17",77,"2014-10-06"
